Cell,Type,Lysosome,Health,TasteBud,Source,Dataset,Folder,comments
TB1_AP16_EM,I,TB1_AP16__LYS_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,
TB1_AP34_EM,I,TB1_AP34_lys_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,
TB1_AP36_EM,I,TB1_AP36_LYS_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,
TB1_AP37_EM,I,TB1_AP37__LYS_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,
TB1_AP38_EM,I,TB1_AP38_lys_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,
TB1_AP44_EM,I,TB1_AP44_LYS_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,formerly early
TB1_AP70_RSL,I,TB1_AP70_LYS_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,
TB2 Nucleus_04_cw_cell-ry,I,TB2 Nucleus_04_cw_lyso-ry,healthy,TB2,Ruibaio,TF21,TOM_TF21_tb2,
TB2_T1C-05_cw,I,TB2_T1C-05-lysosomes-ry,healthy,TB2,Ruibaio,TF21,TOM_TF21_tb2,
TB2_T1C-06_cw,I,TB2_T1C-06_lysosomes,healthy,TB2,Courtney,TF21,Courtney_TF21,
TB1_AP13_EM,II,TB1_AP13_RSL_LYS,early,TB1,Rob,TF21,ROB_TF21_TB1,
TB1_AP40_EM,II,TB1_AP40_RSL_LYS,early,TB2,Rob,TF21,ROB_TF21_TB1,
TB1_AP51_EM,II,TB1_AP51_lys_RSL,early,TB1,Rob,TF21,ROB_TF21_TB1,
TB2_T2C-01_FR,II,TB2_T2C-01-lysosomes-ry,early,TB2,Ruibaio,TF21,TOM_TF21_tb2,slightly dead
TB2_T2C-03_cw,II,TB2_T2C-03_cw-lyso-ry,early,TB2,Ruibaio,TF21,TOM_TF21_tb2,slightly dead
TB1_AP14_EM,II,TB1_AP14_LYS_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,
TB2_T2C-09_cw,II,TB2_T2C-09_lyso_tf,healthy,TB2,Tom,TF21,TOM_TF21_tb2,
TB2_T2C-10_cw,II,TB2_T2C-10_lysosomes_cw,healthy,TB2,Courtney,TF21,Courtney_TF21,
TB2_T2C-12_cw,II,TB2_T2C_12_cw_lyso_ry,healthy,TB2,Ruibaio,TF21,TOM_TF21_tb2,
TB2_T2Cell03_CM_LES,II,TB2_T2Cell03_CM_LYS_RSL,healthy,TB3,Rob,DS2,ROB_DS2,
TB1_AP02_EM,III,TB1_AP02_LYS_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,
TB1_AP31_EM,III,TB1_AP31_LYS_RSL,healthy,TB1,Rob,TF21,ROB_TF21_TB1,II/III
TB2_T3C-08_cw,III,TB2_T3C-08-lyso-ry,healthy,TB2,Ruibaio,TF21,TOM_TF21_tb2,
TB2_T3C-14_FR,III,TB2_T3C-14_FR_lysosomes,healthy,TB2,Courtney,TF21,Courtney_TF21,
TB2_T3C-17_cw,III,TB2_T3C-17_cw_lyso_ry,healthy,TB2,Ruibaio,TF21,TOM_TF21_tb2,
TB2_t3cell02_CM_RSL,III,TB2_t3cell02_LYS_RSL,healthy,TB2,Rob,DS2,ROB_DS2,
TB2_T3Cell07_cm_RSL,III,TB2_T3Cell07_LYS_RSL,healthy,TB2,Rob,DS2,ROB_DS2,
TB1_AP68_EM,III,TB1_AP68_lys_RSL,early,TB1,Rob,TF21,ROB_TF21_TB1,lysosomes not meshed yet
TB1_IMMcell08_CM_RKJ,IV,TB1_IMMCell08_ly_ry,healthy,TB1,Ruibaio,DS2,Ruibiao_DS2,
TB1_IMMCell09_CM_ry,IV,TB1_IMMCell09_ly_ry,healthy,TB2,Ruibaio,DS2,Ruibiao_DS2,
TB2 Nucleus_26_cw_IV-ry,IV,TB2 Nucleus_26_cw_IV_ly-ry,healthy,TB2,Ruibaio,TF21,TOM_TF21_tb2,
TB2_T4C-01_cw,IV,TB2_T4C-01_lysosomes_cw,healthy,TB2,Courtney,TF21,Courtney_TF21,
TB2_TCdying-01_cw,x,TB2_TCdying-01_lysosomes_cw,late,TB2,Courtney,TF21,Courtney_TF21,
TB2_TCdying-02_cw,x,TB2_TCdying-02_lysosomes,late,TB2,Courtney,TF21,Courtney_TF21,
TB3_TC01_dying_cw,x,TB3_TC01_lysosomes_cw,late,TB3,Courtney,TF21,Courtney_TF21,also segmented in dying script
