TASTEBUD,BUDFILENAME,NUCLEUSFILENAME,cellType,Health
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_01,III,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_02_cw,II,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_03_cw,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_04_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_05_cw,IId,dying
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_06_cw,II,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_07_cw,II,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_08_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_09_cw,II,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_10_cw,III,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_11_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_12,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_13_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_14_cw,x,dying
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_15_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_16_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_17_cw,II,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_18,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_19_cw,III,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_20_cw,III,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_21,III,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_22_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_23_cw,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_25_cw,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_26_cw,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_27_cw,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_28_cw,III,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_29_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_30_cw,III,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_31_cw,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_32,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_33,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_34_cw,III,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_35_cw,I,healthy
