Object,Start,End,Volume,
TB1_Apex_T1Cell01_DE,40,127,12.2707,
TB1_Apex_T1Cell02_DE,91,116,3.78722,
TB1_Apex_T1Cell03_DE,103,119,33.0604,
TB1_Apex_T1Cell04_DE,91,118,13.4143,
TB1_Apex_T1Cell05_DE,40,125,21.1429,
TB1_Apex_T1Cell06_DE,74,123,2.59064,
TB1_Apex_T1Cell07_DE,99,167,15.1013,
TB1_Apex_T1Cell09_DE,94,117,12.1455,
TB1_Apex_T1Cell10_DE,117,166,16.7058,
TB1_Apex_T1Cell11_DE,111,146,16.3148,
TB1_Apex_T1Cell12_DE,119,152,7.18756,
TB1_Apex_T1Cell13_DE,95,118,6.19697,
TB1_Apex_T1Cell14_DE,118,121,0.255727,
TB1_Apex_T2Cell01_DE,2,127,77.3955,
TB1_Apex_T2Cell02_old_DE,91,137,11.0768,
TB1_Apex_T2Cell03_DE,1,144,19.6576,
TB1_Apex_T2Cell04_DE,37,119,15.3083,
TB1_Apex_T2Cell05_DE,65,123,6.77591,
TB1_Apex_T3Cell01_DE,45,145,35.4058,
TB1_Apex_T3Cell02_DE,1,129,18.7034,
TB1_Apex_T3Cell03_DE,117,143,8.61096,
TB1_Apex_TX07_DE,107,118,0.0398041,
TB1_Apex_TXCell06_DE,72,133,3.81579,
TB1_Apex2_T1Cell05_CM_LES,1,54,12.7483,
TB1_Apex2_T1Cell06_CM_LES,62,129,20.5033,
TB1_Apex2_T1Cell07_CM_LES,1,66,14.6518,
TB1_Apex2_T1Cell08_CM_LES,1,57,21.7333,
TB1_Apex2_T1Cell09_CM_LES,48,126,41.4395,
TB1_Apex2_T1Cell10_CM_LES,1,54,7.53972,
TB1_Apex2_T1Cell11_CM_LES,1,43,17.6717,
TB1_Apex2_T1Cell12_CM_LES,3,53,25.4088,
TB1_Apex2_T1Cell13_CM_LES,3,60,15.5551,
TB1_Apex2_T1Cell14_CM_LES,50,69,7.02287,
TB1_Apex2_T1Cell15_CM_LES,26,125,51.4137,
TB1_Apex2_T1Cell16_CM_LES,44,75,9.4704,
TB1_Apex2_T1Cell17_CM_LES,74,204,68.6679,
TB1_Apex2_T1Cell18_CM_LES,56,72,1.94537,
TB1_Apex2_T1Cell19_CM_LES,89,159,45.2358,
TB1_Apex2_T3Cell07_CM_LES,1,80,9.36511,
TB1_Apex2_T3Cell08_CM_LES,14,91,21.593,
TB1_Apex2_T3Cell09_CM_LES,1,74,3.33232,
TB1_Apex2_TX_CM_LES,1,62,4.21505,
TB1_Basal_CT_layer_LES,1,229,11229,
TB1_BasalCell04_CM_LES,18,111,398.952,
TB1_BasalCell04_nuc_LES,21,116,133.79,
TB1_BasalCell05_chromosomes_RSL,48,141,121.174,
TB1_BasalCell05_CM_LES,37,151,840.843,
TB1_BasalCell06_CM_LES,85,145,281.571,
TB1_BasalCell06_nuc_LES,101,142,116.158,
TB1_BasalCell10_CM_LES,124,147,45.0446,
TB1_BasalCell10_nuc_LES,137,200,144.255,
TB1_BasalCell12_CM_LES,147,229,293.263,
TB1_BasalCell12_nuc_LES,161,222,128.99,
TB1_BasalCell13_CM_LES,40,117,336.858,
TB1_BasalCell13_nuc_LES,44,101,135.273,
TB1_BasalCell15_CM_LES,1,96,288.663,
TB1_BasalCell15_nuc_LES,1,59,133.413,
TB1_BasalCell16_nuc_LES,1,63,93.2226,
TB1_EdgeCell01_nuc_LES,1,81,128.838,
TB1_fibroblast_CM_LES,1,163,359.846,
TB1_fibroblast_nuc_LES,83,168,122.767,
TB1_IMMcell01_CM_RKJ,1,73,469.245,
TB1_IMMcell01_nuc_RKJ,1,67,192.577,
TB1_IMMCell02_CM_RKJ,1,201,738.187,
TB1_IMMCell02_nuc_RKJ,90,190,193.574,
TB1_IMMcell03_CM_LES,1,56,292.011,
TB1_IMMcell03_nuc_LES,1,43,69.8874,
TB1_IMMCell04_CM_LES,1,46,125.864,
TB1_IMMCell04_nuc_LES,1,40,44.623,
TB1_IMMcell05_nuc_LES,116,181,141.449,
TB1_IMMCell06_CM_LES,53,100,261.385,
TB1_IMMCell06_nuc_LES,64,106,130.894,
TB1_IMMCell07_CM_LES,119,192,489.834,
TB1_IMMCell07_nuc_LES,131,204,324.369,
TB1_IMMCell09_nuc_LES,60,143,163.76,
TB1_NF01_RKJ,1,161,88.843,
TB1_NF02_RKJ,1,73,16.3483,
TB1_NF02_RSL,1,190,49.7073,
TB1_NF03_RKJ,1,211,50.2282,
TB1_NF03_RSL,1,156,23.5216,
TB1_NF04_RKJ,1,173,25.5313,
TB1_NF04_RSL,1,104,27.1596,
TB1_NF05_RKJ,1,64,12.4158,
TB1_NF06_RKJ,1,110,28.4957,
TB1_NF07_RKJ,1,38,9.32034,
TB1_NF08_RKJ,1,53,12.8533,
TB1_NF09_RKJ,1,72,46.8488,
TB1_NF10_RKj,1,68,18.8735,
TB1_NF11_RKJ,1,88,40.669,
TB1_NF12_RKJ,1,72,24.0634,
TB1_NF13_RKJ,1,125,5.0909,
TB1_NF14_RKJ,1,216,50.9625,
TB1_NF15_RKJ,1,41,5.43367,
TB1_NF16_RKJ,1,72,11.0669,
TB1_NF17_RKJ,1,83,8.42846,
