Object,Start,End,Volume,
NTB1_PH,2,52,27.5138,
NTB1_PH2,461,526,53.1873,
NTB1_PH3,456,527,44.0555,
NTB1_PH4,449,535,56.404,
NTB1_PH5,2,43,17.5662,
NTB1_PH6,2,68,51.6213,
NTB1_PH7,2,55,45.049,
TB0_AP01_EM,278,426,245.625,
TB0_AP02_EM,265,451,272.608,
TB0_AP03_EM,291,497,676.898,
TB0_AP04_EM,309,551,200.098,
TB0_AP05_EM,299,385,119.266,
TB0_AP06_EM,311,511,423.717,
TB0_AP07_EM,297,549,264.83,
TB0_AP08_EM,349,497,169.62,
TB0_AP09_EM,225,423,185.398,
TB0_AP10_EM,155,389,322.441,
TB0_AP11_EM,283,533,223.117,
TB0_AP12_EM,364,440,36.4489,
TB0_nerve1_EM,342,458,12.1191,
TB0_Nuc01_EM,337,408,56.5927,
TB0_Nuc02_EM,371,449,45.3681,
TB0_Nuc03_EM,374,455,67.7301,
TB0_Nuc04_EM,454,514,43.7319,
TB0_Nuc05_EM,313,382,38.6323,
TB0_Nuc06_EM,398,488,71.5015,
TB0_Nuc07_EM,454,541,63.8585,
TB0_Nuc08_EM,363,477,46.6697,
TB0_Nuc09_EM,283,373,49.6198,
TB0_Nuc10_EM,262,376,83.0613,
TB0_Nuc11_EM,427,515,48.4175,
TB0_Shell_EM,69,597,6510.22,
TB1_AP01_EM,106,358,509.507,
TB1_AP02_EM,82,204,569.047,
TB1_AP02_LYS_RSL,82,199,4.3629,
TB1_AP03_EM,53,288,442.447,
TB1_AP05_EM,2,189,138.879,
TB1_AP07_EM,2,182,155.195,
TB1_AP08_EM,175,189,0.355344,
TB1_AP09_EM,192,197,0.122448,
TB1_AP12_EM,196,527,551.339,
TB1_AP13_atM01_RSL,376,420,0.379323,
TB1_AP13_atM02_RSL,422,443,1.39184,
TB1_AP13_atM03_RSL,437,451,0.287751,
TB1_AP13_atM04_RSL,445,458,0.307457,
TB1_AP13_atM05_RSL,519,531,0.257593,
TB1_AP13_atM06_RSL,453,464,0.196092,
TB1_AP13_atM07_RSL,442,452,0.203199,
TB1_AP13_EM,197,555,685.717,
TB1_AP13_RSL_LYS,248,545,47.0284,
TB1_AP14_atM01_RSL,371,380,1.8314,
TB1_AP14_atM02_RSL,321,349,1.1417,
TB1_AP14_atM03_RSL,361,372,0.236157,
TB1_AP14_atM04_RSL,350,371,0.30589,
TB1_AP14_EM,177,381,484.992,
TB1_AP14_LYS_RSL,214,379,5.8198,
TB1_AP15_atM01-hybrid_EM,109,123,0.250821,
TB1_AP15_EM,36,185,257.336,
TB1_AP15_EM_SVs,93,130,0.0776874,
TB1_AP16__LYS_RSL,210,408,21.4336,
TB1_AP16_EM,184,417,234.774,
TB1_AP19_atM01_RSL,6,18,0.453824,
TB1_AP19_EM,2,182,253.979,
TB1_AP20_EM,189,469,453.733,
TB1_AP21_EM,192,515,426.365,
TB1_AP22_EM,196,532,447.678,
TB1_AP23_EM,192,461,459.131,
TB1_AP24_EM,202,499,200.062,
TB1_AP25_EM,193,451,425.263,
TB1_AP26_EM,169,386,532.882,
TB1_AP27_atM01_RSL,374,385,0.435256,
TB1_AP27_atM02_RSL,362,369,0.391693,
TB1_AP27_EM,197,426,403.14,
TB1_AP29_atM01-RSL,208,221,0.223994,
TB1_AP29_EM,101,427,629.701,
TB1_AP31_atMito01_RSL,32,40,0.080317,
TB1_AP31_atMito02_RSL,87,98,0.194196,
TB1_AP31_EM,2,186,273.042,
TB1_AP31_LYS_RSL,6,153,2.14011,
TB1_AP33_atM01-hybrid_RSL,134,142,0.312835,
TB1_AP33_EM,2,192,327.037,
TB1_AP34_EM,2,176,202.098,
TB1_AP34_lys_RSL,2,150,14.0302,
TB1_AP35_EM,3,186,316.222,
TB1_AP36_EM,35,249,197.609,
TB1_AP36_LYS_RSL,43,230,16.646,
TB1_AP37__LYS_RSL,221,349,4.46418,
TB1_AP37_EM,186,351,205.274,
TB1_AP38_EM,2,186,192.416,
TB1_AP38_lys_RSL,2,143,19.3354,
TB1_AP39_atM01_RSL,73,88,0.513027,
TB1_AP39_EM,2,241,450.564,
TB1_AP40_atM01-hybrid_RSL,60,79,0.543728,
TB1_AP40_atM02_RSL,34,59,0.776011,
TB1_AP40_atM03_RSL,128,150,1.2702,
TB1_AP40_atM04-hybrid_RSL,143,156,0.615238,
TB1_AP40_atM05-hybrid_RSL,208,218,0.502828,
TB1_AP40_atM06_RSL,190,199,0.346158,
TB1_AP40_atM07_RSL,6,30,1.43993,
TB1_AP40_atM08_RSL,125,132,0.270363,
TB1_AP40_atM09_RSL,127,132,0.140033,
TB1_AP40_atM10-hybrid_RSL,118,126,0.290425,
TB1_AP40_atM11-hybrid_RSL,104,120,0.598749,
TB1_AP40_atM12-hybrid_RSL,104,128,2.10096,
TB1_AP40_atM13-hybrid_RSL,85,111,1.37108,
TB1_AP40_atM14-hybrid_RSL,86,109,1.16679,
TB1_AP40_atM15-hybrid_RSL,102,114,0.281801,
TB1_AP40_atM16-hybrid_RSL,149,163,0.539746,
TB1_AP40_EM,3,239,1033.28,
TB1_AP40_RSL_LYS,2,233,9.51946,
TB1_AP40_RSL_MVB,2,3,0.0101658,
TB1_AP42_atM01_RSL,213,222,0.331039,
TB1_AP42_EM,62,238,543.131,
TB1_AP42_LYS_RSL,74,216,2.25274,
TB1_AP43_atM01_RSL,219,234,1.00773,
TB1_AP43_atM02_RSL,236,249,0.527077,
TB1_AP43_atM03_RSL,266,277,0.39088,
TB1_AP43_atM04_RSL,261,278,0.636184,
TB1_AP43_atM05_RSL,266,285,0.423269,
TB1_AP43_atM06_RSL,246,259,1.83041,
TB1_AP43_atM07_RSL,182,214,0.446257,
TB1_AP43_atM08_RSL,171,178,0.103893,
TB1_AP43_atM09_RSL,229,246,3.02138,
TB1_AP43_atM10_RSL,255,273,0.957748,
TB1_AP43_atM11-hybrid_RSL,207,217,0.341314,
TB1_AP43_EM,143,317,802.287,
TB1_AP44_EM,141,264,259.954,
TB1_AP44_LYS_RSL,154,255,2.80837,
TB1_AP45_EM,146,234,281.219,
TB1_AP46_atM01_RSL,339,353,0.789734,
TB1_AP46_EM,226,424,461.71,
TB1_AP47_atM01_RSL,404,424,0.812939,
TB1_AP47_atM02_RSL,444,472,3.89302,
TB1_AP47_atM03-hybrid_RSL,224,234,0.324617,
TB1_AP47_atM04-hybrid_RSL,266,298,0.410819,
TB1_AP47_atM05-hybrid_RSL,301,316,0.209733,
TB1_AP47_atM06-hybrid_RSL,323,341,0.144652,
TB1_AP47_EM,197,527,520.465,
TB1_AP48_EM,192,471,238.405,
TB1_AP49_EM,8,244,223.229,
TB1_AP50_EM,474,583,213.634,
TB1_AP51_atM01_RSL,84,123,2.02681,
TB1_AP51_atM02_RSL,135,142,0.104383,
TB1_AP51_atM03_RSL,106,129,0.945158,
TB1_AP51_atM04_RSL,121,131,0.193855,
TB1_AP51_atM05_RSL,89,110,0.393067,
TB1_AP51_EM,2,244,858.697,
TB1_AP51_lys_RSL,7,240,16.6111,
TB1_AP52_RSL,140,273,402.413,
TB1_AP54_atM01_RSL,257,277,1.14498,
TB1_AP54_atM02_RSL,232,246,0.392115,
TB1_AP54_RSL,76,335,723.85,
TB1_AP55_EM_RSL,120,268,194.178,
TB1_AP56_RSL,193,343,371.333,
TB1_AP57_RSL,119,393,399.443,
TB1_AP58_RSL,130,462,456.344,
TB1_AP59_RSL,2,189,391.839,
TB1_AP60_RSL,57,308,415.65,
TB1_AP61_RSL,144,345,330.475,
TB1_AP62_RSL,192,359,532.596,
TB1_AP63_RSL,19,152,179.624,
TB1_AP64_RSL,2,126,440.285,
TB1_AP65_RSL,60,162,348.709,
TB1_AP66_RSL,21,272,523.168,
TB1_AP67_RSL,125,455,543.844,
TB1_AP67_ves_RSL,129,181,0.113067,
TB1_AP68_EM,191,351,592.513,
TB1_AP68_LYS_RSL,195,345,8.76163,
TB1_AP69_atM01_RSL,2,10,0.148596,
TB1_AP70_LYS_RSL,119,267,4.20188,
TB1_AP70_RSL,110,271,505.512,
TB1_Epithelial(?)_PH,367,470,47.4675,
TB1_NF01_EM,52,172,45.3556,
TB1_NF02_EM,2,178,51.0039,
TB1_NF10_RSL,95,272,175.13,
TB1_NF11_RSL,140,301,86.1317,
TB1_NF12_RSL,21,301,47.506,
TB1_NF13_RSL,2,135,47.7723,
TB1_NF14_RSL,283,538,25.9408,
TB1_NF15_RSL,210,469,25.2416,
TB1_NF16_RSL,310,411,21.005,
TB1_NF17_RSL,388,478,17.2477,
TB1_NF18_RSL,2,284,41.5011,
TB1_NF19_RSL,2,32,4.23732,
TB1_NF2_RSL,77,137,11.3578,
TB1_NF20_RSL,46,465,252.961,
TB1_NF21_RSL,477,532,1.7805,
TB1_NF22_RSL,232,581,117.455,
TB1_NF23_RSL,2,126,32.6935,
TB1_NF24_RSL,2,221,35.5416,
TB1_NF25_RSL,74,271,46.5627,
TB1_NF26_RSL,2,178,48.9428,
TB1_NF27_RSL,2,227,13.7023,
TB1_NF28_RSL,2,148,13.389,
TB1_NF29_RSL,2,139,6.47553,
TB1_NF3_RSL,5,130,4.60078,
TB1_NF30_RSL,229,391,156.497,
TB1_NF30-T2CAP27_wavy-junction,345,370,2.14623,
TB1_NF31_RSL,104,382,41.0682,
TB1_NF32_RSL,132,410,66.5322,
TB1_NF33_RSL,41,276,12.4478,
TB1_NF34_RSL,109,185,13.9839,
TB1_NF35_RSL,30,234,47.0692,
TB1_NF36_RSL,141,183,1.54509,
TB1_NF37_RSL,74,431,61.0554,
TB1_NF38_RSL,129,422,65.2961,
TB1_NF39_RSL,146,229,26.8661,
TB1_NF4_RSL,2,139,4.9129,
TB1_NF40_RSL,135,274,14.482,
TB1_NF41_RSL,2,142,5.02824,
