Object,Start,End,Count,
TB1_Apex_T1Cell01_DE,40,127,167,
TB1_Apex_T1Cell02_DE,91,116,138,
TB1_Apex_T1Cell03_DE,103,119,45,
TB1_Apex_T1Cell04_DE,91,118,101,
TB1_Apex_T1Cell05_DE,40,125,164,
TB1_Apex_T1Cell06_DE,74,123,135,
TB1_Apex_T1Cell07_DE,99,167,85,
TB1_Apex_T1Cell09_DE,94,117,39,
TB1_Apex_T1Cell10_DE,117,166,86,
TB1_Apex_T1Cell11_DE,111,146,65,
TB1_Apex_T1Cell12_DE,119,152,48,
TB1_Apex_T1Cell13_DE,95,118,45,
TB1_Apex_T1Cell14_DE,118,121,2,
TB1_Apex_T2Cell01_DE,2,127,84,
TB1_Apex_T2Cell02_old_DE,91,137,118,
TB1_Apex_T2Cell03_DE,1,144,191,
TB1_Apex_T2Cell04_DE,37,119,66,
TB1_Apex_T2Cell05_DE,65,123,48,
TB1_Apex_T3Cell01_DE,45,145,81,
TB1_Apex_T3Cell02_DE,1,129,102,
TB1_Apex_T3Cell03_DE,117,143,27,
TB1_Apex_TX07_DE,107,118,12,
TB1_Apex_TXCell06_DE,72,133,86,
TB1_Apex2_T1Cell05_CM_LES,1,54,112,
TB1_Apex2_T1Cell06_CM_LES,62,129,90,
TB1_Apex2_T1Cell07_CM_LES,1,66,118,
TB1_Apex2_T1Cell08_CM_LES,1,57,53,
TB1_Apex2_T1Cell09_CM_LES,48,126,99,
TB1_Apex2_T1Cell10_CM_LES,1,54,223,
TB1_Apex2_T1Cell11_CM_LES,1,43,54,
TB1_Apex2_T1Cell12_CM_LES,3,53,95,
TB1_Apex2_T1Cell13_CM_LES,3,60,86,
TB1_Apex2_T1Cell14_CM_LES,50,69,37,
TB1_Apex2_T1Cell15_CM_LES,26,125,149,
TB1_Apex2_T1Cell16_CM_LES,44,75,46,
TB1_Apex2_T1Cell17_CM_LES,74,204,152,
TB1_Apex2_T1Cell18_CM_LES,56,72,54,
TB1_Apex2_T1Cell19_CM_LES,89,159,70,
TB1_Apex2_T3Cell07_CM_LES,1,80,80,
TB1_Apex2_T3Cell08_CM_LES,14,91,80,
TB1_Apex2_T3Cell09_CM_LES,1,74,105,
TB1_Apex2_TX_CM_LES,1,62,75,
TB1_Basal_CT_layer_LES,1,229,266,
TB1_BasalCell04_CM_LES,18,111,191,
TB1_BasalCell04_nuc_LES,21,116,97,
TB1_BasalCell05_CM_LES,37,151,268,
TB1_BasalCell06_CM_LES,85,145,90,
TB1_BasalCell06_nuc_LES,101,142,74,
TB1_BasalCell10_CM_LES,124,147,28,
TB1_BasalCell10_nuc_LES,137,200,73,
TB1_BasalCell12_CM_LES,147,229,110,
TB1_BasalCell12_nuc_LES,161,222,83,
TB1_BasalCell13_CM_LES,40,117,147,
TB1_BasalCell13_nuc_LES,44,101,64,
TB1_BasalCell15_CM_LES,1,96,131,
TB1_BasalCell15_nuc_LES,1,59,82,
TB1_BasalCell16_nuc_LES,1,63,65,
TB1_EdgeCell01_nuc_LES,1,81,87,
TB1_fibroblast_CM_LES,1,163,1236,
TB1_fibroblast_nuc_LES,83,168,98,
TB1_IMMcell01_CM_RKJ,1,73,128,
TB1_IMMcell01_nuc_RKJ,1,67,70,
TB1_IMMCell02_CM_RKJ,1,201,326,
TB1_IMMCell02_nuc_RKJ,90,190,99,
TB1_IMMcell03_CM_LES,1,56,206,
TB1_IMMcell03_nuc_LES,1,43,49,
TB1_IMMCell04_CM_LES,1,46,72,
TB1_IMMCell04_nuc_LES,1,40,44,
TB1_IMMcell05_nuc_LES,116,181,73,
TB1_IMMCell06_CM_LES,53,100,93,
TB1_IMMCell06_nuc_LES,64,106,79,
TB1_IMMCell07_CM_LES,119,192,108,
TB1_IMMCell07_nuc_LES,131,204,144,
TB1_IMMcell08_CM_RKJ,1,116,300,
TB1_IMMcell08_nuc_RKJ,1,36,38,
TB1_IMMCell09_nuc_LES,60,143,112,
TB1_NF01_RKJ,1,161,881,
TB1_NF02_RKJ,1,73,105,
TB1_NF02_RSL,1,190,856,
TB1_NF03_RKJ,1,211,650,
