Object,Type,Volume,SurfaceArea,Range_1,Range_2,Range_3,Health,SAV,PlotSort,Polarity
TB1_AP16_EM,I,559.265962374337,768.013378574465,23.2100253164557,44.88,18.64,healthy,1.37325249567111,I,1
TB1_AP34_EM,I,499.947613115746,669.516170048334,15.4534683544304,33.7061265822785,13.92,healthy,1.33917265026192,I,1
TB1_AP36_EM,I,515.879232429475,791.876606567066,18.0204556962025,30.0129620253164,17.12,healthy,1.53500384738849,I,1
TB1_AP37_EM,I,469.050402565254,826.625472511399,7.64617721518987,71.0528607594937,13.2,healthy,1.76233826469512,I,1
TB1_AP38_EM,I,378.07411347888,710.313184325541,15.3780253164557,27.8696708860759,14.72,healthy,1.87876704329089,I,1
TB1_AP44_EM,I,581.106100884049,959.505591978007,9.21326582278481,67.8528,9.84,dying,1.65117108651637,d,1
TB1_AP70_RSL,I,725.246142670565,1226.02690977756,20.6258227848101,64.5069367088607,12.88,healthy,1.69049766368006,I,1
TB2 Nucleus_04_cw_cell-ry,I,505.512810474881,845.976200013469,16.740865497076,53.8066900584795,14.48,healthy,1.6735010122073,I,1
TB2_T1C-05_cw,I,972.37786406699,1528.61576051373,30.9289356725146,71.6364070175439,10.8,healthy,1.57203883078978,I,1
TB2_T1C-06_cw,I,1136.87777036977,1711.40916982398,32.0466900584795,76.4147087719298,17.6,healthy,1.50535898794762,I,1
TB1_AP13_EM,II,787.402711219121,1673.72938067665,14.877670886076,45.1046075949367,28.64,dying,2.12563324564282,d,1
TB1_AP14_EM,II,698.378780093678,1235.90607448591,18.9926075949367,68.7457215189873,16.32,healthy,1.76967873267875,II,1
TB1_AP40_EM,II,901.904964633817,1618.39311569946,10.346835443038,56.8760506329114,18.88,dying,1.79441646200112,d,1
TB2_T2C-01_FR,II,1136.49656317266,1620.00600079299,27.2058011695906,75.5874339181287,8.56,dying,1.42543853918093,d,1
TB2_T2C-03_cw,II,847.24932320279,1469.15336948576,18.0505263157895,58.9256608187135,18.4,dying,1.7340271974866,d,1
TB2_T2C-09_cw,II,726.580272710094,1189.5286629356,22.699134502924,76.8520514619883,12.96,healthy,1.63716069320014,II,1
TB2_T2C-10_cw,II,808.453964441408,1304.57078049346,30.3764210526316,76.2099461988304,10.4,healthy,1.61366118279207,II,1
TB2_T2C-12_cw,II,468.525016171478,1060.87170936054,27.9340350877193,66.4527532163743,24.88,healthy,2.26427975613636,II,1
TB2_T2Cell03_CM_LES,II,673.520866578847,1311.91227954217,52.5954,27.5374,13.1824,healthy,1.94784207088643,II,1
TB1_AP02_EM,III,514.783957346044,1019.41082100894,15.8603544303797,75.6867848101266,9.76,healthy,1.98026921092196,III,1
TB1_AP31_EM,III,232.584714574168,746.748978449816,14.2968101265823,29.9372151898734,14.72,healthy,3.21065371736494,III,1
TB2_T3C-08_cw,III,358.201368565118,830.65199603856,18.4042105263158,49.1626666666667,11.12,healthy,2.31895260301764,III,1
TB2_T3C-14_FR,III,459.837285454947,931.459962096402,26.660865497076,63.031298245614,10.24,healthy,2.0256294814694,III,1
TB2_T3C-17_cw,III,352.861869011806,859.08016613885,23.0451461988304,50.9764678362573,13.44,healthy,2.43460753791481,III,1
TB2_t3cell02_CM_RSL,III,308.380125920613,825.27810513374,61.7033,20.5885,16.9274,healthy,2.67617150317331,III,1
TB2_T3Cell07_cm_RSL,III,456.695560295686,832.526344901381,51.7297,9.28739999999999,18.8748,healthy,1.82293505188087,III,1
TB2 Nucleus_26_cw_IV-ry,IV,474.44868298576,681.271234726415,18.2329824561404,24.3300116959064,9.84,healthy,1.43592185869101,IV,1
TB2_T4C-01_cw,IV,650.547161516169,1006.42304874664,17.0014502923977,26.6701005847953,11.28,healthy,1.54704087310298,IV,1
TB1_AP51_EM,x,599.905630234175,1162.8575944753,19.6184303797468,25.7371139240506,19.36,dying,1.93840086818552,d,1
TB2_TCdying-01_cw,x,360.472708474926,414.016020836687,13.2952514619883,23.7559766081871,14.72,dying,1.14853638320718,d,1
TB2_TCdying-02_cw,x,449.438426486373,437.317786799465,14.9876959064327,16.5040467836257,8.64,dying,0.973031590152036,d,1
TB1_IMMcell08_CM_RKJ,IV,323.418117706633,486.495652943599,40.9431,13.7916,8.6135,healthy,1.50423129165847,IV,1
TB1_IMMCell09_CM_ry,IV,366.111855718767,518.035595398882,19.3532,16.0296,9.1378,healthy,1.41496536456557,IV,1
